id,label_kmeans_10
ncnifsuCRAOU7akFgj-yIg,2
ufzgIHmOT4q_vb-mFHgU0Q,2
LtjZXoxIQm2DZIyu_fSOLQ,4
ADP04EqTSzqmDCNfPB7yXw,0
pNLQcSirRN2m7d7kmu9Xvw,4
BAU6FZ2rScOUXgAol9sCOw,2
MfhQ5u97TyWWJNgB3XgbiQ,8
in-KvGd6Qk2j64xvSCPB-g,4
oo5xLShfRwKUJLVWC3WyJA,2
B3kR857fQe6s2VAUw-gTpg,2
vPIGluVBSqSedx5Zv3WwRA,1
kDkjRy7FSx-1dsppXF01uw,3
4tc5Ezs3SF6dfe7F_9GuOA,4
xoBBaFE4RYG2hF90zd5CpA,8
FDaT8N6QSxyOEPK_U-Y27Q,2
4k9DuY_WSwmTpIZn2KuRDA,8
I9jV5aDLTrqkxBiZOTkK9w,2
ugDzK4tvQCmGwH0o6HvK5w,8
wpmvObMpRc24spGfiaL3AQ,0
ovBa_jMqRSKpnqZr2n0lyA,3
j2hFT7d_TpKnCD2sy269LA,2
ZpYOZoeDTSy4hfn7qcypkQ,2
dlwUf3PvT1Wj3FlpJ0wtOA,8
5wZSP7PRTv-g9zD1bTy1yw,3
JV1tyKNOSOyBorGULv0yzQ,2
ckKRsX4xTtm8DoQtxnEpJw,0
khjsb_sOQxS9o8EurpHlyA,0
8BM4zA0RSSCU0vdIQrflTw,2
OVTIMEQOQWe1Oe2iUbuEyQ,2
9LdXNHYxR-y7MmH02AzlfA,0
2EcfIZBNSGWdomQ6jUkqOw,2
oZVHdOP2TEut3OVdYpE7Hg,2
NzVwa7BtQfiZNMoJxz_wNw,7
GDpxU3q9R-CmUdTbGj3OwQ,4
hLMhKg6gSN2c2_jm-iNy0Q,2
Ju87NOfKRO-7EcYTK4Zrsw,2
tjdUNcM5RN-1DFLx1dfR3Q,2
AHHQ-C0SSWCLn904kxZEng,2
_Q35PYzkTRK4mHSCW362nQ,2
VecxSQmqQLagEcevGAAQZw,3
wihhRXCrTiCK_hTqf20lUA,0
91coVrcESXCKTWQFe2DKyg,8
WcmBDxPJSheXcs1GDKBQeA,0
YygZy8bAT-uxyIeTixnPcw,2
pYPAJN5WQyas3h-kQlQmRA,2
2NzLaXfxRi27pUDzJJaq6A,4
